_id,contract.country,viewDate,Movies.Viewing PCT,Movies.Details.Director.Name
ObjectId(5e13ce3a054a095daa7a408c),Japan,2016-01-26,99,Shane Meadows
ObjectId(5e13ce3a054a095daa7a408d),Japan,2016-01-04,4,Tim Burton
ObjectId(5e13ce3a054a095daa7a408e),Japan,2016-01-06,98,
ObjectId(5e13ce3a054a095daa7a408f),Japan,2016-01-18,99,Seth Gordon
ObjectId(5e13ce3a054a095daa7a4090),Japan,2016-01-23,5,Laurent Tirard
ObjectId(5e13ce3a054a095daa7a4091),Japan,2016-01-29,2,Lars von Trier
ObjectId(5e13ce3a054a095daa7a4092),Japan,2016-01-10,3,Quentin Tarantino
ObjectId(5e13ce3a054a095daa7a4093),Japan,2016-01-21,100,Steven Soderbergh
ObjectId(5e13ce3a054a095daa7a4094),Japan,2016-01-16,99,Tony Maylam
ObjectId(5e13ce3a054a095daa7a4095),Japan,2016-01-24,99,Joseph Kosinski
ObjectId(5e13ce3a054a095daa7a4096),Japan,2016-01-17,99,Peter Chelsom
ObjectId(5e13ce3a054a095daa7a4097),Japan,2016-01-17,4,Jean-Jacques Annaud
ObjectId(5e13ce3a054a095daa7a4098),Antarctica,2016-01-24,100,Thomas Lilti
ObjectId(5e13ce3a054a095daa7a4099),Japan,2016-01-04,100,Ole Christian Madsen
ObjectId(5e13ce3a054a095daa7a409a),Japan,2016-01-15,100,Mike Newell
ObjectId(5e13ce3a054a095daa7a409b),Japan,2016-01-27,99,Robert Rodriguez
ObjectId(5e13ce3a054a095daa7a409c),Japan,2016-01-07,100,Julian Jarrold
ObjectId(5e13ce3a054a095daa7a409d),Japan,2016-01-25,21,Oliver Stone
ObjectId(5e13ce3a054a095daa7a409e),Japan,2016-01-17,100,Alan Taylor
ObjectId(5e13ce3a054a095daa7a409f),Japan,2016-01-16,99,Anne Fletcher
ObjectId(5e13ce3a054a095daa7a40a0),Japan,2016-01-18,100,Andrew Traucki
ObjectId(5e13ce3a054a095daa7a40a1),Japan,2016-01-24,20,Robert Zemeckis
ObjectId(5e13ce3a054a095daa7a40a2),Japan,2016-01-02,98,Benedek Fliegauf
ObjectId(5e13ce3a054a095daa7a40a3),Malta,2016-01-04,99,Morgan Neville
ObjectId(5e13ce3a054a095daa7a40a4),Malta,2016-01-11,98,Spike Jonze
ObjectId(5e13ce3a054a095daa7a40a5),Malta,2016-01-26,100,Jeff Wadlow
ObjectId(5e13ce3a054a095daa7a40a6),Malta,2016-01-04,5,Sam Miller
ObjectId(5e13ce3a054a095daa7a40a7),Malta,2016-01-14,98,Robert Schwentke
ObjectId(5e13ce3a054a095daa7a40a8),Malta,2016-01-25,100,Joel Schumacher
ObjectId(5e13ce3a054a095daa7a40a9),Uruguay,2016-01-02,100,Harold Ramis
ObjectId(5e13ce3a054a095daa7a40aa),Uruguay,2016-01-18,100,Regardt van den Bergh
ObjectId(5e13ce3a054a095daa7a40ab),Netherlands,2016-01-12,2,Christine Jeffs
ObjectId(5e13ce3a054a095daa7a40ac),Netherlands,2016-01-07,100,Jon Favreau
ObjectId(5e13ce3a054a095daa7a40ad),New Zealand,2016-01-11,98,Christopher Nolan
ObjectId(5e13ce3a054a095daa7a40ae),New Zealand,2016-01-25,98,Andrew Erwin
ObjectId(5e13ce3a054a095daa7a40af),New Zealand,2016-01-25,100,E. Elias Merhige
ObjectId(5e13ce3a054a095daa7a40b0),New Zealand,2016-01-24,100,Thomas Bezucha
ObjectId(5e13ce3a054a095daa7a40b1),New Zealand,2016-01-30,99,Fred Wolf
ObjectId(5e13ce3a054a095daa7a40b2),New Zealand,2016-01-10,98,Ariel Vromen
ObjectId(5e13ce3a054a095daa7a40b3),New Zealand,2016-01-19,100,JK Youn
ObjectId(5e13ce3a054a095daa7a40b4),British Indian Ocean Territory,2016-01-04,98,James Bridges
ObjectId(5e13ce3a054a095daa7a40b5),British Indian Ocean Territory,2016-01-10,100,Tom Putnam
ObjectId(5e13ce3a054a095daa7a40b6),British Indian Ocean Territory,2016-01-10,2,Spencer Susser
ObjectId(5e13ce3a054a095daa7a40b7),British Indian Ocean Territory,2016-01-24,98,William Friedkin
ObjectId(5e13ce3a054a095daa7a40b8),British Indian Ocean Territory,2016-01-19,100,Peter Segal
ObjectId(5e13ce3a054a095daa7a40b9),British Indian Ocean Territory,2016-01-06,98,Sam Peckinpah
ObjectId(5e13ce3a054a095daa7a40ba),Lebanon,2016-01-01,98,Michael Bay
ObjectId(5e13ce3a054a095daa7a40bb),�land Islands,2016-01-02,98,Greg Mottola
ObjectId(5e13ce3a054a095daa7a40bc),�land Islands,2016-01-17,98,Davis Guggenheim
ObjectId(5e13ce3a054a095daa7a40bd),�land Islands,2016-01-06,1,Patrick Read Johnson
ObjectId(5e13ce3a054a095daa7a40be),�land Islands,2016-01-27,99,James Mangold
ObjectId(5e13ce3a054a095daa7a40bf),�land Islands,2016-01-31,98,Bryan Barber
ObjectId(5e13ce3a054a095daa7a40c0),�land Islands,2016-01-12,99,Paul Haggis
ObjectId(5e13ce3a054a095daa7a40c1),�land Islands,2016-01-26,4,Michael Roemer
ObjectId(5e13ce3a054a095daa7a40c2),�land Islands,2016-01-05,1,Danny Boyle
ObjectId(5e13ce3a054a095daa7a40c3),�land Islands,2016-01-04,98,Edward Burns
ObjectId(5e13ce3a054a095daa7a40c4),Finland,2016-01-17,100,Charlie Levi
ObjectId(5e13ce3a054a095daa7a40c5),Finland,2016-01-06,100,Ryan Coogler
ObjectId(5e13ce3a054a095daa7a40c6),Finland,2016-01-10,99,Matt Walsh
ObjectId(5e13ce3a054a095daa7a40c7),Finland,2016-01-29,100,Todd Graff
ObjectId(5e13ce3a054a095daa7a40c8),Finland,2016-01-18,100,Neil LaBute
ObjectId(5e13ce3a054a095daa7a40c9),Finland,2016-01-25,100,Fred Schepisi
ObjectId(5e13ce3a054a095daa7a40ca),Finland,2016-01-06,100,Jonathan Lynn
ObjectId(5e13ce3a054a095daa7a40cb),Finland,2016-01-17,100,
ObjectId(5e13ce3a054a095daa7a40cc),Finland,2016-01-23,99,Travis Cluff
ObjectId(5e13ce3a054a095daa7a40cd),Slovenia,2016-01-04,99,Jonas �kerlund
ObjectId(5e13ce3a054a095daa7a40ce),Slovenia,2016-01-27,99,A. Raven Cruz
ObjectId(5e13ce3a054a095daa7a40cf),Niue,2016-01-12,100,Joe Roth
ObjectId(5e13ce3a054a095daa7a40d0),Niue,2016-01-16,4,David Raynr
ObjectId(5e13ce3a054a095daa7a40d1),Niue,2016-01-23,98,Oren Moverman
ObjectId(5e13ce3a054a095daa7a40d2),Niue,2016-01-10,99,Yarrow Cheney
ObjectId(5e13ce3a054a095daa7a40d3),Niue,2016-01-06,99,Ben Lewin
ObjectId(5e13ce3a054a095daa7a40d4),Malawi,2016-01-26,4,Jay Oliva
ObjectId(5e13ce3a054a095daa7a40d5),Malawi,2016-01-27,98,Tommy O'Haver
ObjectId(5e13ce3a054a095daa7a40d6),Malawi,2016-01-06,79,Lloyd Kaufman
ObjectId(5e13ce3a054a095daa7a40d7),Malawi,2016-01-01,98,Zack Snyder
ObjectId(5e13ce3a054a095daa7a40d8),Malawi,2016-01-23,4,Sidney J. Furie
ObjectId(5e13ce3a054a095daa7a40d9),Malawi,2016-01-28,4,Giovanni Zelko
ObjectId(5e13ce3a054a095daa7a40da),Malawi,2016-01-09,98,Francis Ford Coppola
ObjectId(5e13ce3a054a095daa7a40db),Suriname,2016-01-20,98,David Frankel
ObjectId(5e13ce3a054a095daa7a40dc),Sri Lanka,2016-01-17,89,Kevin Smith
ObjectId(5e13ce3a054a095daa7a40dd),Sri Lanka,2016-01-06,100,Scott Derrickson
ObjectId(5e13ce3a054a095daa7a40de),Sri Lanka,2016-01-11,48,Stuart Gordon
ObjectId(5e13ce3a054a095daa7a40df),Sri Lanka,2016-01-21,98,Zack Ward
ObjectId(5e13ce3a054a095daa7a40e0),Sri Lanka,2016-01-29,98,Richard Lester
ObjectId(5e13ce3a054a095daa7a40e1),Sri Lanka,2016-01-07,98,Ruggero Deodato
ObjectId(5e13ce3a054a095daa7a40e2),Sri Lanka,2016-01-20,100,Saul Dibb
ObjectId(5e13ce3a054a095daa7a40e3),Sri Lanka,2016-01-06,99,Antoine Fuqua
ObjectId(5e13ce3a054a095daa7a40e4),Sri Lanka,2016-01-20,99,Robert Luketic
ObjectId(5e13ce3a054a095daa7a40e5),Turkmenistan,2016-01-04,99,John Whitesell
ObjectId(5e13ce3a054a095daa7a40e6),Turkmenistan,2016-01-01,99,Molly Bernstein
ObjectId(5e13ce3a054a095daa7a40e7),Turkmenistan,2016-01-09,4,John Carpenter
ObjectId(5e13ce3a054a095daa7a40e8),Turkmenistan,2016-01-12,100,Pat Holden
ObjectId(5e13ce3a054a095daa7a40e9),Liechtenstein,2016-01-08,98,Roger Christian
ObjectId(5e13ce3a054a095daa7a40ea),Liechtenstein,2016-01-21,100,Rowan Joffe
ObjectId(5e13ce3a054a095daa7a40eb),Liechtenstein,2016-01-28,2,Stacy Peralta
ObjectId(5e13ce3a054a095daa7a40ec),Liechtenstein,2016-01-11,5,Paul W.S. Anderson
ObjectId(5e13ce3a054a095daa7a40ed),Liechtenstein,2016-01-16,98,Marcus Dunstan
ObjectId(5e13ce3a054a095daa7a40ee),Liechtenstein,2016-01-23,100,Justin Paul Miller
ObjectId(5e13ce3a054a095daa7a40ef),Liechtenstein,2016-01-15,100,Oliver Stone
ObjectId(5e13ce3a054a095daa7a40f0),France,2016-01-05,98,Menno Meyjes
ObjectId(5e13ce3a054a095daa7a40f1),Liberia,2016-01-21,100,Roland Emmerich
ObjectId(5e13ce3a054a095daa7a40f2),Liberia,2016-01-15,100,Guillaume Canet
ObjectId(5e13ce3a054a095daa7a40f3),Liberia,2016-01-19,98,Elaine May
ObjectId(5e13ce3a054a095daa7a40f4),Liberia,2016-01-02,98,Erik White
ObjectId(5e13ce3a054a095daa7a40f5),Liberia,2016-01-17,98,Tom Seidman
ObjectId(5e13ce3a054a095daa7a40f6),Liberia,2016-01-18,98,M. Night Shyamalan
ObjectId(5e13ce3a054a095daa7a40f7),Liberia,2016-01-24,100,Igor Kovalyov
ObjectId(5e13ce3a054a095daa7a40f8),Bahrain,2016-01-07,99,Wes Craven
ObjectId(5e13ce3a054a095daa7a40f9),Bahrain,2016-01-08,5,Shari Springer Berman
ObjectId(5e13ce3a054a095daa7a40fa),Bahrain,2016-01-21,98,Mort Nathan
ObjectId(5e13ce3a054a095daa7a40fb),Bahrain,2016-01-31,98,Gary Fleder
ObjectId(5e13ce3a054a095daa7a40fc),Bahrain,2016-01-17,4,Andrew Adamson
ObjectId(5e13ce3a054a095daa7a40fd),Bahrain,2016-01-17,100,Marius A. Markevicius
ObjectId(5e13ce3a054a095daa7a40fe),Saint Helena,2016-01-17,98,Woody Allen
ObjectId(5e13ce3a054a095daa7a40ff),Saint Helena,2016-01-25,98,Kar-Wai Wong
ObjectId(5e13ce3a054a095daa7a4100),Saint Helena,2016-01-02,98,Alan Poul
ObjectId(5e13ce3a054a095daa7a4101),Saint Helena,2016-01-23,100,John McTiernan
ObjectId(5e13ce3a054a095daa7a4102),Pitcairn,2016-01-25,99,Henry Bean
ObjectId(5e13ce3a054a095daa7a4103),Panama,2016-01-16,99,Kenneth Branagh
ObjectId(5e13ce3a054a095daa7a4104),Panama,2016-01-13,98,Carl Theodor Dreyer
ObjectId(5e13ce3a054a095daa7a4105),Panama,2016-01-31,98,M. Night Shyamalan
ObjectId(5e13ce3a054a095daa7a4106),Panama,2016-01-19,98,Peter Berg
ObjectId(5e13ce3a054a095daa7a4107),Panama,2016-01-10,99,Roger Spottiswoode
ObjectId(5e13ce3a054a095daa7a4108),Denmark,2016-01-10,99,Kevin Bray
ObjectId(5e13ce3a054a095daa7a4109),Denmark,2016-01-30,100,Molly Bernstein
ObjectId(5e13ce3a054a095daa7a410a),Denmark,2016-01-28,98,Kabir Sadanand
ObjectId(5e13ce3a054a095daa7a410b),Denmark,2016-01-14,98,Fred Zinnemann
ObjectId(5e13ce3a054a095daa7a410c),Denmark,2016-01-27,99,Sam Raimi
ObjectId(5e13ce3a054a095daa7a410d),Denmark,2016-01-20,99,Julien Temple
ObjectId(5e13ce3a054a095daa7a410e),Denmark,2016-01-09,5,Leonard Nimoy
ObjectId(5e13ce3a054a095daa7a410f),Denmark,2016-01-28,99,Michael Dinner
ObjectId(5e13ce3a054a095daa7a4110),Denmark,2016-01-03,100,Ricky Gervais
ObjectId(5e13ce3a054a095daa7a4111),Denmark,2016-01-11,100,Gregory Widen
ObjectId(5e13ce3a054a095daa7a4112),Denmark,2016-01-04,99,Roger Kumble
ObjectId(5e13ce3a054a095daa7a4113),Denmark,2016-01-10,100,Clare Kilner
ObjectId(5e13ce3a054a095daa7a4114),Western Sahara,2016-01-15,100,Jonathan Levine
ObjectId(5e13ce3a054a095daa7a4115),Western Sahara,2016-01-22,5,Alex Craig Mann
ObjectId(5e13ce3a054a095daa7a4116),Western Sahara,2016-01-16,78,Martin Scorsese
ObjectId(5e13ce3a054a095daa7a4117),Western Sahara,2016-01-05,98,Wolfgang Petersen
ObjectId(5e13ce3a054a095daa7a4118),Western Sahara,2016-01-14,99,Robert Ben Garant
ObjectId(5e13ce3a054a095daa7a4119),Western Sahara,2016-01-16,99,John Whitesell
ObjectId(5e13ce3a054a095daa7a411a),Western Sahara,2016-01-08,99,Simon West
ObjectId(5e13ce3a054a095daa7a411b),Western Sahara,2016-01-28,99,John Hillcoat
ObjectId(5e13ce3a054a095daa7a411c),Panama,2016-01-23,100,Ben Stassen
ObjectId(5e13ce3a054a095daa7a411d),Panama,2016-01-06,99,John Moore
ObjectId(5e13ce3a054a095daa7a411e),Panama,2016-01-02,47,Dominique Othenin-Girard
ObjectId(5e13ce3a054a095daa7a411f),Panama,2016-01-06,100,Tobe Hooper
ObjectId(5e13ce3a054a095daa7a4120),Panama,2016-01-31,12,Neil LaBute
ObjectId(5e13ce3a054a095daa7a4121),Panama,2016-01-13,98,Lucky McKee
ObjectId(5e13ce3a054a095daa7a4122),Panama,2016-01-27,100,David Wain
ObjectId(5e13ce3a054a095daa7a4123),Panama,2016-01-11,99,Marielle Heller
ObjectId(5e13ce3a054a095daa7a4124),Latvia,2016-01-27,5,Jeremy Saulnier
ObjectId(5e13ce3a054a095daa7a4125),Latvia,2016-01-03,100,Griffin Dunne
ObjectId(5e13ce3a054a095daa7a4126),Latvia,2016-01-08,100,Joe Pytka
ObjectId(5e13ce3a054a095daa7a4127),Heard Island and McDonald Islands,2016-01-04,100,Ben Stassen
ObjectId(5e13ce3a054a095daa7a4128),Heard Island and McDonald Islands,2016-01-22,5,Allen Hughes
ObjectId(5e13ce3a054a095daa7a4129),Heard Island and McDonald Islands,2016-01-25,100,Mel Brooks
ObjectId(5e13ce3a054a095daa7a412a),Heard Island and McDonald Islands,2016-01-14,100,J.B. Rogers
ObjectId(5e13ce3a054a095daa7a412b),Heard Island and McDonald Islands,2016-01-27,1,Neal Brennan
ObjectId(5e13ce3a054a095daa7a412c),Germany,2016-01-25,99,Sam Raimi
ObjectId(5e13ce3a054a095daa7a412d),Germany,2016-01-13,98,J.S. Cardone
ObjectId(5e13ce3a054a095daa7a412e),Belgium,2016-01-19,46,George Lucas
ObjectId(5e13ce3a054a095daa7a412f),Belgium,2016-01-22,98,Dan Gilroy
ObjectId(5e13ce3a054a095daa7a4130),Belgium,2016-01-08,98,Steven Shainberg
ObjectId(5e13ce3a054a095daa7a4131),Belgium,2016-01-18,98,Simon West
ObjectId(5e13ce3a054a095daa7a4132),Zimbabwe,2016-01-03,100,Paul Greengrass
ObjectId(5e13ce3a054a095daa7a4133),Eritrea,2016-01-27,99,Adam Shankman
ObjectId(5e13ce3a054a095daa7a4134),Eritrea,2016-01-18,10,Brian Levant
ObjectId(5e13ce3a054a095daa7a4135),Eritrea,2016-01-26,5,Zack Snyder
ObjectId(5e13ce3a054a095daa7a4136),Eritrea,2016-01-21,99,Richard Brooks
ObjectId(5e13ce3a054a095daa7a4137),Eritrea,2016-01-24,98,Tim Story
ObjectId(5e13ce3a054a095daa7a4138),Eritrea,2016-01-25,98,Robert Hall
ObjectId(5e13ce3a054a095daa7a4139),Eritrea,2016-01-08,98,Leon Ford
ObjectId(5e13ce3a054a095daa7a413a),Eritrea,2016-01-20,99,Joe Johnston
ObjectId(5e13ce3a054a095daa7a413b),Eritrea,2016-01-25,100,Russell Mulcahy
ObjectId(5e13ce3a054a095daa7a413c),Eritrea,2016-01-04,100,James Ivory
ObjectId(5e13ce3a054a095daa7a413d),Eritrea,2016-01-26,99,Joe Dante
ObjectId(5e13ce3a054a095daa7a413e),Eritrea,2016-01-09,99,Dennis Iliadis
ObjectId(5e13ce3a054a095daa7a413f),Eritrea,2016-01-01,98,James McTeigue
ObjectId(5e13ce3a054a095daa7a4140),Eritrea,2016-01-10,100,David Mamet
ObjectId(5e13ce3a054a095daa7a4141),Eritrea,2016-01-15,100,Louis Leterrier
ObjectId(5e13ce3a054a095daa7a4142),Eritrea,2016-01-17,100,Simon Napier-Bell
ObjectId(5e13ce3a054a095daa7a4143),Anguilla,2016-01-24,100,Roger Michell
ObjectId(5e13ce3a054a095daa7a4144),Anguilla,2016-01-17,98,David Atkins
ObjectId(5e13ce3a054a095daa7a4145),Anguilla,2016-01-08,98,Stuart Gillard
ObjectId(5e13ce3a054a095daa7a4146),Anguilla,2016-01-09,3,Steve Miner
ObjectId(5e13ce3a054a095daa7a4147),Anguilla,2016-01-18,99,Barry Levinson
ObjectId(5e13ce3a054a095daa7a4148),Anguilla,2016-01-06,4,Peter Hewitt
ObjectId(5e13ce3a054a095daa7a4149),Gabon,2016-01-28,3,Steven Spielberg
ObjectId(5e13ce3a054a095daa7a414a),Gabon,2016-01-24,98,Mark Steven Johnson
ObjectId(5e13ce3a054a095daa7a414b),Gabon,2016-01-22,100,David Hunt
ObjectId(5e13ce3a054a095daa7a414c),Gabon,2016-01-15,2,Matty Rich
ObjectId(5e13ce3a054a095daa7a414d),Gabon,2016-01-19,99,Paul Bunnell
ObjectId(5e13ce3a054a095daa7a414e),Gabon,2016-01-09,100,Paul Feig
ObjectId(5e13ce3a054a095daa7a414f),Svalbard and Jan Mayen,2016-01-02,98,Brad Peyton
ObjectId(5e13ce3a054a095daa7a4150),Svalbard and Jan Mayen,2016-01-09,100,
ObjectId(5e13ce3a054a095daa7a4151),Svalbard and Jan Mayen,2016-01-08,1,Johnnie To
ObjectId(5e13ce3a054a095daa7a4152),Svalbard and Jan Mayen,2016-01-25,100,Garry Marshall
ObjectId(5e13ce3a054a095daa7a4153),Svalbard and Jan Mayen,2016-01-04,100,Wes Craven
ObjectId(5e13ce3a054a095daa7a4154),Svalbard and Jan Mayen,2016-01-29,99,Peter Berg
ObjectId(5e13ce3a054a095daa7a4155),Montenegro,2016-01-14,100,Francis Ford Coppola
ObjectId(5e13ce3a054a095daa7a4156),Montenegro,2016-01-06,99,Stephen Hopkins
ObjectId(5e13ce3a054a095daa7a4157),Montenegro,2016-01-02,100,Gary Winick
ObjectId(5e13ce3a054a095daa7a4158),Montenegro,2016-01-20,2,Jon Amiel
ObjectId(5e13ce3a054a095daa7a4159),Antigua and Barbuda,2016-01-13,2,Steven Soderbergh
ObjectId(5e13ce3a054a095daa7a415a),Turkmenistan,2016-01-24,99,Bille Woodruff
ObjectId(5e13ce3a054a095daa7a415b),Turkmenistan,2016-01-28,4,Jonathan Levine
ObjectId(5e13ce3a054a095daa7a415c),Colombia,2016-01-04,98,Ridley Scott
ObjectId(5e13ce3a054a095daa7a415d),Guam,2016-01-28,100,Steve Pink
ObjectId(5e13ce3a054a095daa7a415e),San Marino,2016-01-21,99,Rob Minkoff
ObjectId(5e13ce3a054a095daa7a415f),San Marino,2016-01-14,3,Neil Marshall
ObjectId(5e13ce3a054a095daa7a4160),San Marino,2016-01-03,98,McG
ObjectId(5e13ce3a054a095daa7a4161),Norway,2016-01-03,5,Alejandro G. I��rritu
ObjectId(5e13ce3a054a095daa7a4162),Norway,2016-01-21,100,�tienne Faure
ObjectId(5e13ce3a054a095daa7a4163),Norway,2016-01-23,98,John Murlowski
ObjectId(5e13ce3a054a095daa7a4164),Norway,2016-01-19,4,Danny DeVito
ObjectId(5e13ce3a054a095daa7a4165),Norway,2016-01-21,98,Hayley Cloake
ObjectId(5e13ce3a054a095daa7a4166),Norway,2016-01-02,98,Ti West
ObjectId(5e13ce3a054a095daa7a4167),Norway,2016-01-05,1,
ObjectId(5e13ce3a054a095daa7a4168),Macao,2016-01-01,99,Jeff Burr
ObjectId(5e13ce3a054a095daa7a4169),Macao,2016-01-09,2,Richard Ayoade
ObjectId(5e13ce3a054a095daa7a416a),Bosnia and Herzegovina,2016-01-09,78,Ridley Scott
ObjectId(5e13ce3a054a095daa7a416b),Bosnia and Herzegovina,2016-01-29,100,Stephen Sommers
ObjectId(5e13ce3a054a095daa7a416c),Japan,2016-01-06,100,Gore Verbinski
ObjectId(5e13ce3a054a095daa7a416d),Japan,2016-01-30,5,Mario Van Peebles
ObjectId(5e13ce3a054a095daa7a416e),Japan,2016-01-27,99,Larry Charles
ObjectId(5e13ce3a054a095daa7a416f),Papua New Guinea,2016-01-06,99,Robert Bennett
ObjectId(5e13ce3a054a095daa7a4170),Papua New Guinea,2016-01-25,99,Alexandre Aja
ObjectId(5e13ce3a054a095daa7a4171),Papua New Guinea,2016-01-25,100,Philip Kaufman
ObjectId(5e13ce3a054a095daa7a4172),Papua New Guinea,2016-01-14,98,Ron Underwood
ObjectId(5e13ce3a054a095daa7a4173),Papua New Guinea,2016-01-31,98,Dan O'Bannon
ObjectId(5e13ce3a054a095daa7a4174),Kyrgyzstan,2016-01-23,99,Vic Sarin
ObjectId(5e13ce3a054a095daa7a4175),Libyan Arab Jamahiriya,2016-01-14,100,Ben Affleck
ObjectId(5e13ce3a054a095daa7a4176),Libyan Arab Jamahiriya,2016-01-13,100,Peter Stebbings
ObjectId(5e13ce3a054a095daa7a4177),Libyan Arab Jamahiriya,2016-01-04,98,Neil Jordan
ObjectId(5e13ce3a054a095daa7a4178),Libyan Arab Jamahiriya,2016-01-22,100,Amy Heckerling
ObjectId(5e13ce3a054a095daa7a4179),Libyan Arab Jamahiriya,2016-01-26,100,Clint Eastwood
ObjectId(5e13ce3a054a095daa7a417a),Libyan Arab Jamahiriya,2016-01-14,98,Rob Letterman
